track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,num_followers
SABOR FRESA,Fuerza Regida,1,250,26,78300654.0,16,149,10.0,5,168.0,130,7.0,1,79,96,86,9,0,9,9,Summer,5725407.0
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,7112,77,899183384.0,202,119,318.0,38,96.0,107,11.0,0,80,82,80,43,0,14,4,Spring,12484102.0
MOJABI GHOST,"Tainy, Bad Bunny",2,859,40,61245289.0,35,109,41.0,14,211.0,122,6.0,1,81,74,71,14,0,56,4,Summer,12484102.0
Last Night,Morgan Wallen,1,2420,19,429829812.0,52,107,15.0,1,325.0,204,6.0,0,52,52,68,46,0,15,4,Winter,7662966.0
Dance The Night (From Barbie The Album),Dua Lipa,1,2988,101,127408954.0,0,0,143.0,38,0.0,110,11.0,1,67,78,85,2,0,33,5,Spring,42138142.0
Rush,Troye Sivan,1,864,78,22581161.0,71,135,50.0,1,294.0,126,5.0,1,74,35,84,0,0,11,6,Summer,8022458.0
TULUM,"Peso Pluma, Grupo Frontera",2,266,34,52294266.0,20,185,13.0,8,197.0,168,6.0,0,56,63,87,39,0,11,5,Summer,12484102.0
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,6036,88,843957510.0,113,149,245.0,23,27.0,98,1.0,1,71,17,61,36,0,8,5,Winter,12484102.0
Anti-Hero,Taylor Swift,1,9082,56,999748277.0,242,142,165.0,9,310.0,97,4.0,0,64,51,63,12,0,19,5,Fall,92699744.0
TQG,"Karol G, Shakira",2,4284,49,618990393.0,115,123,184.0,18,354.0,180,4.0,1,72,61,63,67,0,9,28,Winter,12484102.0
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,1150,31,123122413.0,22,33,34.0,7,184.0,120,-1.0,0,81,63,68,11,0,11,4,Summer,12484102.0
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,672,34,188933502.0,19,108,24.0,9,212.0,150,6.0,0,61,39,73,37,0,11,3,Spring,12484102.0
Blank Space,Taylor Swift,1,11434,53,1355959075.0,154,123,410.0,2,81.0,96,5.0,0,75,57,68,9,0,13,6,Winter,92699744.0
Style,Taylor Swift,1,7830,42,786181836.0,94,111,151.0,4,82.0,95,2.0,0,60,48,79,0,0,12,4,Winter,92699744.0
TQM,Fuerza Regida,1,584,28,176553476.0,16,159,15.0,6,100.0,125,5.0,1,79,96,85,27,0,11,6,Spring,5725407.0
El Azul,"Junior H, Peso Pluma",2,692,25,354495408.0,10,107,6.0,3,62.0,144,9.0,1,56,84,65,23,0,10,6,Winter,12484102.0
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,24094,78,2808096550.0,372,117,843.0,4,69.0,90,2.0,0,76,91,50,54,0,7,5,Fall,12484102.0
I'm Good (Blue),"Bebe Rexha, David Guetta",2,12482,80,1109433169.0,291,184,537.0,45,727.0,128,7.0,1,56,38,97,4,0,35,4,Summer,12484102.0
See You Again,"Tyler, The Creator, Kali Uchis",3,13387,64,1047101291.0,77,58,247.0,1,311.0,79,6.0,0,56,58,56,37,0,11,10,Summer,12484102.0
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,1117,80,65156199.0,82,145,65.0,16,,144,-1.0,0,77,75,58,52,0,23,25,Summer,12484102.0
Angels Like You,Miley Cyrus,1,3372,19,570515054.0,65,48,138.0,1,102.0,122,5.0,0,67,49,64,10,0,10,3,Fall,22640944.0
I Ain't Worried,OneRepublic,1,8431,76,1085685420.0,241,127,458.0,37,332.0,140,-1.0,0,71,82,81,11,0,6,5,Spring,16466732.0
Die For You,The Weeknd,1,2483,59,1647990401.0,68,21,24.0,0,259.0,134,1.0,1,59,51,52,9,0,15,7,Fall,74524232.0
Starboy,"The Weeknd, Daft Punk",2,29536,79,2565529693.0,281,137,,1,140.0,186,7.0,0,68,49,59,16,0,13,28,Fall,12484102.0
Die For You - Remix,"Ariana Grande, The Weeknd",2,3408,47,518745108.0,87,86,74.0,1,16.0,67,1.0,1,53,50,53,23,0,44,7,Winter,12484102.0
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,1298,38,107753850.0,44,64,57.0,10,110.0,106,10.0,1,72,17,64,7,0,10,5,Summer,12484102.0
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,4277,66,177740666.0,145,111,213.0,11,810.0,128,7.0,0,60,23,91,0,0,12,3,Spring,12484102.0
AMARGURA,Karol G,1,1133,39,153372011.0,14,71,23.0,10,176.0,107,6.0,1,92,55,70,18,0,15,7,Winter,41596834.0
(It Goes Like) Nanana - Edit,Peggy Gou,1,2259,59,57876440.0,0,0,109.0,17,0.0,130,7.0,1,67,96,88,12,19,8,4,Summer,807079.0
Another Love,Tom Odell,1,18371,83,1813673666.0,250,122,,19,-1.0,123,4.0,1,45,13,54,70,0,9,4,Fall,3555106.0
Blinding Lights,The Weeknd,1,43899,69,3703895074.0,672,199,,20,-1.0,171,1.0,0,50,38,80,0,0,9,7,Fall,74524232.0
Moonlight,Kali Uchis,1,2649,42,256483385.0,67,79,57.0,1,615.0,137,7.0,1,64,88,72,51,0,17,5,Winter,5630525.0
La Bachata,Manuel Turizo,1,6804,45,1214083358.0,139,111,161.0,15,210.0,125,7.0,1,84,85,68,58,0,22,4,Spring,13250075.0
S91,Karol G,1,525,41,16011326.0,34,115,39.0,6,216.0,128,-1.0,1,86,42,72,59,0,9,19,Summer,41596834.0
cardigan,Taylor Swift,1,7923,29,812019557.0,106,112,142.0,4,215.0,130,-1.0,1,61,53,58,55,0,27,4,Summer,92699744.0
Tï¿½ï¿½,"dennis, MC Kevin o Chris",2,731,15,111947664.0,27,17,73.0,4,167.0,130,11.0,0,86,59,96,50,1,9,5,Spring,12484102.0
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,5184,41,156338624.0,154,84,102.0,14,37.0,133,5.0,0,70,86,81,25,0,25,5,Winter,12484102.0
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,3107,39,720434240.0,38,0,4.0,0,0.0,101,2.0,0,88,72,59,62,0,9,3,Summer,12484102.0
BESO,"Rauw Alejandro, ROSALï¿½",2,4053,50,357925728.0,82,121,182.0,12,171.0,95,5.0,1,77,53,64,74,0,17,14,Spring,12484102.0
Hey Mor,"Ozuna, Feid",2,4637,38,674072710.0,63,79,89.0,11,16.0,98,1.0,1,90,40,59,0,0,10,29,Fall,12484102.0
Yellow,Chris Molitor,1,31358,43,1755214421.0,196,2,,5,0.0,173,11.0,0,43,28,66,0,0,23,3,Winter,434.0
Karma,Taylor Swift,1,3818,23,404562836.0,37,55,32.0,0,272.0,90,8.0,0,64,10,62,7,0,48,7,Fall,92699744.0
People,Libianca,1,3506,56,373199958.0,105,64,169.0,8,529.0,198,10.0,1,59,71,42,55,0,10,7,Winter,364904.0
Overdrive,Post Malone,1,410,36,14780425.0,36,32,31.0,1,26.0,140,1.0,0,56,48,73,0,0,35,4,Summer,42705594.0
Enchanted (Taylor's Version),Taylor Swift,1,148,24,39578178.0,32,93,8.0,2,5.0,82,8.0,0,51,22,53,1,0,15,3,Summer,92699744.0
BABY HELLO,"Rauw Alejandro, Bizarrap",2,1004,35,54266102.0,42,80,58.0,3,169.0,130,1.0,1,77,84,89,17,0,43,5,Summer,12484102.0
Heat Waves,Glass Animals,1,22543,63,2557975762.0,386,144,707.0,28,-1.0,81,11.0,0,76,53,53,44,0,9,9,Summer,3936712.0
golden hour,JVKE,1,4511,36,751134527.0,70,58,109.0,18,230.0,94,1.0,1,51,14,59,65,18,25,3,Summer,3397810.0
Sweater Weather,The Neighbourhood,1,16413,61,2282771485.0,166,87,,1,-1.0,124,10.0,0,61,41,81,5,2,10,3,Spring,14279405.0
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,8506,45,1356565093.0,94,65,164.0,14,176.0,128,2.0,0,62,55,78,1,3,23,4,Summer,12484102.0
Viva La Vida,Coldplay,1,33898,62,1592909789.0,233,0,,9,0.0,138,5.0,1,49,42,62,9,0,11,3,Winter,48101715.0
Here With Me,d4vd,1,3246,23,635412045.0,94,85,68.0,1,84.0,132,4.0,0,58,27,48,50,0,12,3,Summer,1938207.0
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,8576,42,1230675890.0,216,108,331.0,26,154.0,131,2.0,0,71,24,47,1,0,27,9,Fall,12484102.0
Yandel 150,"Yandel, Feid",2,3618,38,585695368.0,47,74,80.0,14,194.0,168,6.0,1,78,58,73,5,0,10,7,Winter,12484102.0
CORAZï¿½ï¿½N VA,Maria Becerra,1,370,20,43857627.0,12,16,18.0,4,93.0,98,1.0,0,68,40,79,33,0,30,6,Summer,5232884.0
Riptide,Vance Joy,1,31123,55,2009094673.0,300,65,,1,0.0,102,1.0,0,48,50,73,43,0,15,4,Winter,2933602.0
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2790,30,600976848.0,60,96,71.0,0,115.0,101,10.0,0,34,32,57,78,0,20,3,Spring,12484102.0
Novidade na ï¿½ï¿½,"Mc Livinho, DJ Matt D",2,267,9,39709092.0,9,6,25.0,2,72.0,130,5.0,0,63,36,34,76,0,35,9,Summer,12484102.0
Back To December (Taylor's Version),Taylor Swift,1,139,17,39228929.0,16,72,5.0,0,8.0,142,2.0,0,50,20,64,1,0,12,3,Summer,92699744.0
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,17050,36,2665343922.0,492,99,798.0,31,0.0,170,1.0,0,59,48,76,4,0,10,5,Summer,12484102.0
El Merengue,"Marshmello, Manuel Turizo",2,2114,44,223633238.0,80,75,110.0,11,323.0,124,8.0,1,78,70,68,3,1,11,4,Spring,12484102.0
Someone You Loved,Lewis Capaldi,1,17836,53,2887241814.0,440,125,,0,-1.0,110,1.0,0,50,45,41,75,0,11,3,Fall,11917402.0
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,8870,43,1440757818.0,104,120,141.0,26,49.0,92,1.0,1,91,43,71,9,0,9,8,Spring,12484102.0
Makeba,Jain,1,6060,53,165484133.0,150,148,,22,,116,2.0,0,82,40,66,39,51,25,7,Summer,922249.0
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,641,50,58054811.0,1,52,8.0,0,,129,9.0,0,63,84,82,70,8,9,7,Summer,12484102.0
Fast Car,Luke Combs,1,1446,12,157058870.0,57,97,35.0,0,429.0,98,8.0,0,71,67,60,19,0,12,3,Spring,9552281.0
What It Is (Solo Version),Doechii,1,804,25,95131998.0,29,76,24.0,0,162.0,172,1.0,1,74,76,76,6,0,10,9,Spring,369159.0
Coco Chanel,"Bad Bunny, Eladio Carrion",2,1962,38,250305248.0,28,89,29.0,5,82.0,150,2.0,0,68,14,76,4,0,10,4,Spring,12484102.0
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,4875,23,685032533.0,19,45,0.0,0,10.0,136,9.0,1,62,19,53,11,0,6,4,Fall,92699744.0
Still With You,Jung Kook,1,31,39,38411956.0,2,107,8.0,0,0.0,88,1.0,1,53,34,47,9,0,83,4,Summer,11196055.0
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2175,23,144565150.0,69,145,69.0,2,478.0,143,3.0,0,83,69,44,15,0,10,33,Spring,12484102.0
Say Yes To Heaven,Lana Del Rey,1,2000,46,127567540.0,49,105,63.0,1,0.0,100,6.0,1,49,17,35,71,9,11,3,Spring,29678172.0
Snooze,SZA,1,2839,25,399686758.0,58,156,42.0,1,236.0,143,5.0,0,56,39,55,14,0,11,13,Winter,15736279.0
Summertime Sadness,Lana Del Rey,1,20333,52,983637508.0,89,143,,3,200.0,112,1.0,1,56,24,66,7,0,12,3,Winter,29678172.0
Take Two,BTS,1,674,47,118482347.0,20,106,25.0,4,78.0,93,7.0,0,62,57,59,3,0,38,3,Summer,71014264.0
Lover,Taylor Swift,1,8448,23,882831184.0,160,110,163.0,0,5.0,206,7.0,0,43,50,55,50,0,15,10,Winter,92699744.0
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2110,58,286400165.0,17,119,19.0,2,266.0,88,7.0,1,68,17,71,15,0,11,5,Winter,12484102.0
Chemical,Post Malone,1,2528,39,172825906.0,56,91,59.0,3,486.0,170,2.0,0,50,37,90,0,0,12,5,Spring,42705594.0
Mockingbird,Eminem,1,12985,61,1241559043.0,49,98,,5,204.0,84,4.0,1,62,24,67,21,0,13,28,Winter,78483293.0
New Jeans,NewJeans,1,77,35,29562220.0,8,166,4.0,4,34.0,134,4.0,1,81,53,72,51,0,12,5,Summer,6097299.0
Primera Cita,Carin Leon,1,266,27,77309611.0,6,40,6.0,6,202.0,158,10.0,0,54,50,40,61,0,10,6,Spring,8816089.0
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,21097,52,1605224506.0,384,135,,37,312.0,116,1.0,0,80,92,80,4,0,10,3,Fall,12484102.0
Dandelions,Ruth B.,1,3423,21,1116995633.0,41,100,59.0,1,32.0,117,1.0,0,61,45,69,2,0,9,3,Spring,3167687.0
Bones,Imagine Dragons,1,4198,44,838079900.0,98,108,327.0,17,153.0,114,5.0,1,77,65,72,2,0,7,5,Spring,51071903.0
Set Fire to the Rain,Adele,1,14739,43,1163620694.0,88,112,,5,519.0,108,2.0,1,61,47,68,0,0,13,3,Winter,52556644.0
Money Trees,"Kendrick Lamar, Jay Rock",2,26792,32,1093605526.0,69,113,695.0,0,458.0,144,4.0,1,74,37,53,7,0,21,10,Winter,12484102.0
Tak Segampang Itu,Anggi Marito,1,213,6,179659294.0,7,6,0.0,0,48.0,130,5.0,0,51,18,44,76,0,11,3,Winter,729289.0
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,58,18,39058561.0,2,106,4.0,2,184.0,116,11.0,0,77,79,62,33,1,15,3,Summer,12484102.0
Mine (Taylor's Version),Taylor Swift,1,99,15,36912123.0,21,52,6.0,1,0.0,121,7.0,0,65,49,78,0,0,17,4,Summer,92699744.0
Everybody Wants To Rule The World,Tears For Fears,1,41751,25,1205951614.0,101,32,,0,666.0,112,7.0,0,64,54,81,36,0,11,6,Winter,3158611.0
No Role Modelz,J. Cole,1,21164,36,1791000570.0,80,65,476.0,0,14.0,100,10.0,1,70,47,52,30,0,6,33,Winter,21921773.0
Tattoo,Loreen,1,2988,59,201660859.0,74,102,145.0,18,925.0,150,3.0,1,55,30,78,24,0,12,8,Winter,1002838.0
Rara Vez,"Taiu, Milo j",2,893,38,248088961.0,19,23,24.0,3,88.0,120,5.0,1,84,96,71,18,0,34,17,Winter,12484102.0
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï¿½",3,1094,34,90839753.0,40,58,47.0,8,203.0,127,11.0,1,82,89,85,4,0,23,6,Spring,12484102.0
august,Taylor Swift,1,7324,22,607123776.0,25,81,61.0,1,44.0,90,5.0,0,51,42,61,53,0,9,3,Summer,92699744.0
LUNA,"Junior H, Peso Pluma",2,201,11,55842345.0,19,117,8.0,1,74.0,128,9.0,1,75,79,63,33,0,15,4,Summer,12484102.0
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,5120,48,211050784.0,161,115,246.0,9,638.0,143,9.0,0,64,31,87,4,4,8,4,Spring,12484102.0
Nonsense,Sabrina Carpenter,1,2346,27,342897938.0,69,12,38.0,8,64.0,139,8.0,0,74,68,68,3,0,26,4,Summer,6376752.0
Que Vuelvas,"Carin Leon, Grupo Frontera",2,763,26,2762.0,21,110,21.0,9,71.0,162,10.0,0,49,78,64,19,0,11,4,Winter,12484102.0
Por las Noches,Peso Pluma,1,457,24,330346424.0,8,116,4.0,3,2.0,92,-1.0,0,81,39,60,31,0,7,3,Summer,9016733.0
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,3430,38,601863821.0,45,69,52.0,4,3.0,95,5.0,0,87,57,55,10,0,29,7,Summer,8257073.0
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,6074,52,1953533826.0,201,44,,2,0.0,146,2.0,0,63,88,93,3,0,10,8,Summer,12484102.0
Watermelon Sugar,Harry Styles,1,21915,34,2322580122.0,437,115,,12,-1.0,95,-1.0,0,55,56,82,12,0,34,5,Fall,30156319.0
lovely - Bonus Track,"Billie Eilish, Khalid",2,15032,30,2355719893.0,221,96,,2,136.0,115,4.0,1,35,12,30,93,0,10,3,Summer,12484102.0
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,871,32,66902503.0,25,59,32.0,5,88.0,128,11.0,0,78,59,65,10,0,26,5,Summer,12484102.0
Queencard,(G)I-DLE,1,451,33,96273746.0,10,126,7.0,0,148.0,130,4.0,1,82,69,83,3,0,27,5,Spring,7832861.0
OMG,NewJeans,1,1783,27,430977451.0,26,124,15.0,1,22.0,127,9.0,1,80,74,77,36,0,11,4,Winter,6097299.0
Radio,Lana Del Rey,1,9389,46,284819874.0,24,122,282.0,3,368.0,150,2.0,0,42,20,86,21,0,9,9,Winter,29678172.0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,5724,44,721975598.0,119,108,254.0,29,22.0,122,2.0,1,78,50,63,27,0,9,5,Winter,12484102.0
505,Arctic Monkeys,1,13985,25,1217120710.0,30,80,588.0,1,1.0,140,-1.0,0,52,20,85,0,0,7,5,Spring,22332123.0
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,1051,16,109276132.0,31,37,31.0,0,189.0,140,-1.0,0,63,22,54,46,0,12,8,Summer,12484102.0
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,1682,46,276259178.0,24,90,30.0,1,176.0,119,1.0,1,75,48,53,18,0,18,34,Winter,12484102.0
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,182,8,54225632.0,3,88,1.0,0,52.0,110,7.0,1,76,96,72,32,0,9,4,Spring,12484102.0
Perfect,Ed Sheeran,1,16596,13,2559529074.0,7,0,,0,0.0,95,8.0,0,60,17,45,16,0,11,2,Winter,115407525.0
Romantic Homicide,d4vd,1,2335,23,681583126.0,82,55,50.0,0,9.0,132,6.0,0,56,20,55,45,1,32,3,Summer,1938207.0
Believer,Imagine Dragons,1,18986,23,2594040133.0,250,121,,10,31.0,125,10.0,1,77,74,78,4,0,23,11,Winter,51071903.0
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,283,7,81102253.0,6,9,26.0,1,66.0,124,3.0,1,84,65,50,67,0,13,6,Spring,12484102.0
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,293,8,11956641.0,5,2,30.0,2,66.0,133,11.0,1,93,68,65,42,0,12,25,Summer,12484102.0
Without Me,Eminem,1,21081,43,1687664027.0,98,76,,5,0.0,112,7.0,0,92,67,66,0,0,36,9,Winter,78483293.0
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,437,31,11599388.0,17,29,26.0,3,208.0,97,-1.0,0,79,92,89,5,0,6,5,Summer,12484102.0
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,1275,32,611700552.0,13,8,5.0,0,1.0,90,5.0,1,59,52,48,38,5,10,11,Fall,12484102.0
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,6135,38,1133865788.0,71,113,99.0,13,28.0,80,3.0,1,65,27,69,8,0,53,4,Spring,12484102.0
Somewhere Only We Know,Keane,1,20015,16,1089402494.0,107,69,,0,558.0,172,9.0,0,45,33,59,6,0,8,3,Winter,3166783.0
Those Eyes,New West,1,1507,14,411747614.0,24,71,44.0,1,195.0,120,4.0,0,60,24,35,73,0,31,3,Spring,305291.0
El Gordo Trae El Mando,Chino Pacas,1,539,21,255932395.0,7,71,4.0,2,13.0,140,7.0,1,74,96,80,18,0,5,5,Winter,931319.0
Mi Bello Angel,Natanael Cano,1,86,8,31873544.0,7,76,3.0,1,93.0,128,9.0,1,81,90,77,1,0,9,5,Summer,9446609.0
Bye,Peso Pluma,1,324,14,95053634.0,13,110,8.0,2,60.0,122,-1.0,0,78,70,81,57,0,10,5,Spring,9016733.0
Danza Kuduro,"Don Omar, Lucenzo",2,17138,37,1279434863.0,119,81,974.0,1,503.0,130,-1.0,0,47,86,92,8,0,5,24,Winter,241.0
Nosso Quadro,"Ana Castela, AgroPlay",2,894,9,233801632.0,14,88,66.0,3,72.0,160,9.0,0,69,61,71,33,0,31,20,Winter,12484102.0
Locked Out Of Heaven,Bruno Mars,1,1622,9,1481349984.0,0,0,356.0,0,0.0,144,5.0,0,73,87,70,6,0,28,5,Winter,52200881.0
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,561,14,142095275.0,4,14,12.0,5,56.0,192,11.0,0,50,85,52,11,0,28,6,Spring,12484102.0
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,5871,27,618885532.0,81,121,58.0,1,34.0,163,-1.0,0,54,40,67,0,0,9,17,Summer,12484102.0
Counting Stars,OneRepublic,1,29215,43,2011464183.0,179,97,,11,153.0,122,1.0,1,66,48,71,6,0,12,4,Winter,16466732.0
Ghost,Justin Bieber,1,5866,24,1167330737.0,107,38,95.0,0,-1.0,154,2.0,0,61,41,74,21,0,40,6,Spring,74643773.0
Under The Influence,Chris Brown,1,3859,26,929964809.0,133,181,3.0,0,-1.0,117,9.0,1,73,31,69,6,0,11,4,Fall,20816983.0
PRC,"Natanael Cano, Peso Pluma",2,961,26,436027885.0,19,143,10.0,6,15.0,138,7.0,1,78,89,83,10,0,12,5,Winter,12484102.0
Gasolina,Daddy Yankee,1,6457,18,657723613.0,98,95,453.0,0,454.0,96,-1.0,0,86,74,80,33,0,8,6,Summer,33920421.0
One Dance,"Drake, WizKid, Kyla",3,43257,24,2713922350.0,433,107,,0,26.0,104,1.0,0,77,36,63,1,0,36,5,Spring,12484102.0
Enchanted,Taylor Swift,1,4564,16,621660989.0,24,101,113.0,0,40.0,164,8.0,0,45,24,62,8,0,16,3,Winter,92699744.0
Save Your Tears,The Weeknd,1,12688,13,1591223784.0,197,115,112.0,0,200.0,118,-1.0,0,68,61,82,2,0,50,3,Spring,74524232.0
Sure Thing,Miguel,1,13801,19,950906471.0,137,125,435.0,6,285.0,81,11.0,1,68,51,60,3,0,19,10,Spring,4856957.0
Every Breath You Take - Remastered 2003,The Police,1,22439,19,1593270737.0,211,74,929.0,0,129.0,117,1.0,0,82,73,45,54,0,7,3,Winter,5735270.0
The Night We Met,Lord Huron,1,18515,35,1410088830.0,70,82,939.0,1,162.0,174,2.0,0,45,10,37,97,25,64,4,Winter,1373369.0
We Found Love,"Rihanna, Calvin Harris",2,36843,21,1235005533.0,321,91,,1,58.0,128,1.0,0,73,60,77,3,0,11,4,Winter,12484102.0
